train_loss,train_acc,epoch,step,test_loss,test_acc
0.474432110786438,0.8876000046730042,0,468,,
0.13365450501441956,0.9620333313941956,1,937,,
0.08766114711761475,0.9752500057220459,2,1406,,
0.061961397528648376,0.9835166931152344,3,1875,,
0.044763728976249695,0.9884666800498962,4,2344,,
0.03209049254655838,0.9920499920845032,5,2813,,
0.02282560244202614,0.9951666593551636,6,3282,,
0.01630910485982895,0.996749997138977,7,3751,,
0.01118538249284029,0.9981333613395691,8,4220,,
0.007646169047802687,0.9990166425704956,9,4689,,
0.0052391719073057175,0.9993500113487244,10,5158,,
0.003574505215510726,0.9995666742324829,11,5627,,
0.00768314441666007,0.9980499744415283,12,6096,,
0.003549957415089011,0.9993333220481873,13,6565,,
0.0017431204905733466,0.9998000264167786,14,7034,,
0.0016767189372330904,0.999750018119812,15,7503,,
0.002471409970894456,0.9994500279426575,16,7972,,
0.004099163226783276,0.9989166855812073,17,8441,,
0.005778416525572538,0.9984166622161865,18,8910,,
0.001062340335920453,0.9998499751091003,19,9379,,
0.00043906294740736485,0.9999666810035706,20,9848,,
0.0002711565757635981,0.9999833106994629,21,10317,,
0.00023101991973817348,0.9999833106994629,22,10786,,
0.0001696953404461965,0.9999833106994629,23,11255,,
0.00011378883209545165,0.9999833106994629,24,11724,,
8.981844439404085e-05,1.0,25,12193,,
6.65377956465818e-05,1.0,26,12662,,
5.147859701537527e-05,1.0,27,13131,,
3.9638729504076764e-05,1.0,28,13600,,
3.1670628231950104e-05,1.0,29,14069,,
2.5274714062106796e-05,1.0,30,14538,,
2.0126437448197976e-05,1.0,31,15007,,
1.596126276126597e-05,1.0,32,15476,,
1.2621090718312189e-05,1.0,33,15945,,
9.948156730388291e-06,1.0,34,16414,,
7.820049177098554e-06,1.0,35,16883,,
6.130503606982529e-06,1.0,36,17352,,
4.795088443643181e-06,1.0,37,17821,,
3.743997467609006e-06,1.0,38,18290,,
2.9211410037532914e-06,1.0,39,18759,,
2.2784367956774076e-06,1.0,40,19228,,
1.7767571307558683e-06,1.0,41,19697,,
1.3854199778506882e-06,1.0,42,20166,,
1.080244373952155e-06,1.0,43,20635,,
8.423752433373011e-07,1.0,44,21104,,
6.571995641024841e-07,1.0,45,21573,,
5.128524094288878e-07,1.0,46,22042,,
4.005429730113974e-07,1.0,47,22511,,
3.1316395165958966e-07,1.0,48,22980,,
2.451312184348353e-07,1.0,49,23449,,
1.921717114328203e-07,1.0,50,23918,,
1.5087827875959192e-07,1.0,51,24387,,
1.189027685200017e-07,1.0,52,24856,,
9.395247246857252e-08,1.0,53,25325,,
7.427513537550112e-08,1.0,54,25794,,
5.8821715498424965e-08,1.0,55,26263,,
4.68928895713816e-08,1.0,56,26732,,
3.7574722000499605e-08,1.0,57,27201,,
3.0138068041196675e-08,1.0,58,27670,,
2.432265056029337e-08,1.0,59,28139,,
