train_loss,train_acc,epoch,step,test_loss,test_acc
0.502168595790863,0.878849983215332,0,468,,
0.17786537110805511,0.9501000046730042,1,937,,
0.12251106649637222,0.9656166434288025,2,1406,,
0.09054979681968689,0.9749500155448914,3,1875,,
0.06825262308120728,0.9814500212669373,4,2344,,
0.051527079194784164,0.9868999719619751,5,2813,,
0.03861900046467781,0.991183340549469,6,3282,,
0.02851569838821888,0.9942333102226257,7,3751,,
0.020705169066786766,0.9963666796684265,8,4220,,
0.014826116152107716,0.9980499744415283,9,4689,,
0.01051658671349287,0.9988999962806702,10,5158,,
0.007391706109046936,0.9993500113487244,11,5627,,
0.005118062719702721,0.9996500015258789,12,6096,,
0.0035274105612188578,0.9998999834060669,13,6565,,
0.0024779709056019783,0.9999833106994629,14,7034,,
0.001771833747625351,0.9999833106994629,15,7503,,
0.001284132362343371,1.0,16,7972,,
0.0009397765388712287,1.0,17,8441,,
0.0006973589188419282,1.0,18,8910,,
0.0005216856370680034,1.0,19,9379,,
0.0003928080259356648,1.0,20,9848,,
0.00029707016074098647,1.0,21,10317,,
0.0002254019636893645,1.0,22,10786,,
0.00017147019389085472,1.0,23,11255,,
0.00013072621368337423,1.0,24,11724,,
9.984573989640921e-05,1.0,25,12193,,
7.637825910933316e-05,1.0,26,12662,,
5.850663364981301e-05,1.0,27,13131,,
4.487111436901614e-05,1.0,28,13600,,
3.4451742976671085e-05,1.0,29,14069,,
2.6479372536414303e-05,1.0,30,14538,,
2.03723266167799e-05,1.0,31,15007,,
1.5688790881540626e-05,1.0,32,15476,,
1.2093792975065298e-05,1.0,33,15945,,
9.33153660298558e-06,1.0,34,16414,,
7.2078287303156685e-06,1.0,35,16883,,
5.573083399212919e-06,1.0,36,17352,,
4.3140416892129e-06,1.0,37,17821,,
3.343596972626983e-06,1.0,38,18290,,
2.594635361674591e-06,1.0,39,18759,,
2.016537564486498e-06,1.0,40,19228,,
1.5696045920776669e-06,1.0,41,19697,,
1.2236782822583336e-06,1.0,42,20166,,
9.558054898661794e-07,1.0,43,20635,,
7.482125283786445e-07,1.0,44,21104,,
5.869871415598027e-07,1.0,45,21573,,
4.617286322172731e-07,1.0,46,22042,,
3.6417998217075365e-07,1.0,47,22511,,
2.879756948459544e-07,1.0,48,22980,,
2.2843269675831834e-07,1.0,49,23449,,
1.818874864056852e-07,1.0,50,23918,,
1.4545517501574068e-07,1.0,51,24387,,
1.1664428711810615e-07,1.0,52,24856,,
9.391704480776752e-08,1.0,53,25325,,
7.597405726755824e-08,1.0,54,25794,,
6.17424618098994e-08,1.0,55,26263,,
5.04473796070215e-08,1.0,56,26732,,
4.131793573947107e-08,1.0,57,27201,,
3.416736404915355e-08,1.0,58,27670,,
2.8290349618487198e-08,1.0,59,28139,,
2.369085727593756e-08,1.0,60,28608,,
1.9913910520585887e-08,1.0,61,29077,,
1.6844269978832926e-08,1.0,62,29546,,
1.4354784028114409e-08,1.0,63,30015,,
1.2290477080512119e-08,1.0,64,30484,,
1.0563929286888651e-08,1.0,65,30953,,
9.268521061756019e-09,1.0,66,31422,,
8.147954311255035e-09,1.0,67,31891,,
7.3174630799144325e-09,1.0,68,32360,,
6.598233515120455e-09,1.0,69,32829,,
5.960464122267695e-09,1.0,70,33298,,
5.47965317565513e-09,1.0,71,33767,,
5.1180517601778774e-09,1.0,72,34236,,
4.839896483588291e-09,1.0,73,34705,,
4.607438430781485e-09,1.0,74,35174,,
4.438558853792074e-09,1.0,75,35643,,
4.305441780871888e-09,1.0,76,36112,,
4.196166525360923e-09,1.0,77,36581,,
4.1027861108489105e-09,1.0,78,37050,,
4.023313238121773e-09,1.0,79,37519,,
4.003445130962291e-09,1.0,80,37988,,
3.949800930769243e-09,1.0,81,38457,,
3.892183020326456e-09,1.0,82,38926,,
3.888209310076718e-09,1.0,83,39395,,
3.860393782417759e-09,1.0,84,39864,,
3.818670712973926e-09,1.0,85,40333,,
3.810723292474449e-09,1.0,86,40802,,
3.80873643734958e-09,1.0,87,41271,,
3.8226444232236645e-09,1.0,88,41740,,
3.848473095757754e-09,1.0,89,42209,,
3.814697002724188e-09,1.0,90,42678,,
3.8325782547588005e-09,1.0,91,43147,,
3.880262333666451e-09,1.0,92,43616,,
3.840525675258277e-09,1.0,93,44085,,
3.892183020326456e-09,1.0,94,44554,,
3.850459950882623e-09,1.0,95,45023,,
3.8842355998269795e-09,1.0,96,45492,,
3.866354347792367e-09,1.0,97,45961,,
3.8941698754513254e-09,1.0,98,46430,,
3.898143585701064e-09,1.0,99,46899,,
3.8842355998269795e-09,1.0,100,47368,,
3.93191967873463e-09,1.0,101,47837,,
3.9259591133600225e-09,1.0,102,48306,,
3.927945968484892e-09,1.0,103,48775,,
3.949800930769243e-09,1.0,104,49244,,
3.941853510269766e-09,1.0,105,49713,,
3.947814075644374e-09,1.0,106,50182,,
3.963708472554117e-09,1.0,107,50651,,
3.983577023802809e-09,1.0,108,51120,,
4.007418841212029e-09,1.0,109,51589,,
3.969669037928725e-09,1.0,110,52058,,
4.007418841212029e-09,1.0,111,52527,,
4.0610630414050775e-09,1.0,112,52996,,
4.047155055530993e-09,1.0,113,53465,,
4.053115620905601e-09,1.0,114,53934,,
4.1027861108489105e-09,1.0,115,54403,,
4.0709968729402135e-09,1.0,116,54872,,
4.100799255724041e-09,1.0,117,55341,,
4.116693652633785e-09,1.0,118,55810,,
4.172324707951702e-09,1.0,119,56279,,
4.156429866952749e-09,1.0,120,56748,,
4.176298418201441e-09,1.0,121,57217,,
4.198153380485792e-09,1.0,122,57686,,
4.221995197895012e-09,1.0,123,58155,,
4.237889594804756e-09,1.0,124,58624,,
4.237889594804756e-09,1.0,125,59093,,
4.2776262532129294e-09,1.0,126,59562,,
4.255771290928578e-09,1.0,127,60031,,
4.303454925747019e-09,1.0,128,60500,,
4.3193493226567625e-09,1.0,129,60969,,
4.315375612407024e-09,1.0,130,61438,,
4.345177995190852e-09,1.0,131,61907,,
4.363059691314675e-09,1.0,132,62376,,
4.369019812600072e-09,1.0,133,62845,,
4.414717036382854e-09,1.0,134,63314,,
4.4027959056336385e-09,1.0,135,63783,,
4.432598288417466e-09,1.0,136,64252,,
4.4544532507018175e-09,1.0,137,64721,,
4.430611433292597e-09,1.0,138,65190,,
4.494189909109991e-09,1.0,139,65659,,
4.514058016269473e-09,1.0,140,66128,,
4.508097450894866e-09,1.0,141,66597,,
4.531939268304086e-09,1.0,142,67066,,
4.54584725417817e-09,1.0,143,67535,,
4.551807375463568e-09,1.0,144,68004,,
4.5895571787468725e-09,1.0,145,68473,,
4.5994914543712184e-09,1.0,146,68942,,
4.59551774412148e-09,1.0,147,69411,,
4.635253958440444e-09,1.0,148,69880,,
4.631280248190706e-09,1.0,149,70349,,
4.663069486099403e-09,1.0,150,70818,,
4.688898158633492e-09,1.0,151,71287,,
4.7127399760427124e-09,1.0,152,71756,,
4.7127399760427124e-09,1.0,153,72225,,
4.708766265792974e-09,1.0,154,72694,,
4.762410465986022e-09,1.0,155,73163,,
4.774331596735237e-09,1.0,156,73632,,
4.782279017234714e-09,1.0,157,74101,,
4.782279017234714e-09,1.0,158,74570,,
4.790225993644981e-09,1.0,159,75039,,
4.831949507178024e-09,1.0,160,75508,,
4.8279757969282855e-09,1.0,161,75977,,
4.887580562495941e-09,1.0,162,76446,,
4.863738745086721e-09,1.0,163,76915,,
4.881619997121334e-09,1.0,164,77384,,
4.9312904870646435e-09,1.0,165,77853,,
4.909435524780292e-09,1.0,166,78322,,
4.957119159598733e-09,1.0,167,78791,,
4.955132304473864e-09,1.0,168,79260,,
4.949171739099256e-09,1.0,169,79729,,
4.998842229042566e-09,1.0,170,80198,,
4.986921542382561e-09,1.0,171,80667,,
5.01275021491665e-09,1.0,172,81136,,
4.984934687257692e-09,1.0,173,81605,,
5.048512718985876e-09,1.0,174,82074,,
5.03857888745074e-09,1.0,175,82543,,
5.052486429235614e-09,1.0,176,83012,,
5.092223087643788e-09,1.0,177,83481,,
5.100170508143265e-09,1.0,178,83950,,
5.1081174845535315e-09,1.0,179,84419,,
5.13593301221249e-09,1.0,180,84888,,
5.13593301221249e-09,1.0,181,85357,,
5.165735394996318e-09,1.0,182,85826,,
5.145867287836836e-09,1.0,183,86295,,
5.2114321746898895e-09,1.0,184,86764,,
5.203485198279623e-09,1.0,185,87233,,
5.247195122848325e-09,1.0,186,87702,,
5.25911580950833e-09,1.0,187,88171,,
5.2531556882229324e-09,1.0,188,88640,,
5.286931337167289e-09,1.0,189,89109,,
5.296865612791635e-09,1.0,190,89578,,
5.324681140450593e-09,1.0,191,90047,,
5.298852467916504e-09,1.0,192,90516,,
5.3465361027349445e-09,1.0,193,90985,,
5.342562392485206e-09,1.0,194,91454,,
5.3783253406436415e-09,1.0,195,91923,,
5.3783253406436415e-09,1.0,196,92392,,
5.402167158052862e-09,1.0,197,92861,,
5.416074699837736e-09,1.0,198,93330,,
5.402167158052862e-09,1.0,199,93799,,
,,200,93800,0.18221431970596313,0.9771000146865845
