train_loss,train_acc,epoch,step,test_loss,test_acc
0.33425670862197876,0.9134833216667175,0,468,,
0.11439893394708633,0.9670833349227905,1,937,,
0.06770379841327667,0.9815333485603333,2,1406,,
0.04090709984302521,0.9901666641235352,3,1875,,
0.02385888621211052,0.9954333305358887,4,2344,,
0.013303566724061966,0.9983000159263611,5,2813,,
0.0073805879801511765,0.9994000196456909,6,3282,,
0.004201384726911783,0.9998000264167786,7,3751,,
0.0024970509111881256,1.0,8,4220,,
0.001561857177875936,1.0,9,4689,,
0.0010231323540210724,1.0,10,5158,,
0.0006834620144218206,1.0,11,5627,,
0.0004712483787443489,1.0,12,6096,,
0.0003372826031409204,1.0,13,6565,,
0.00024642926291562617,1.0,14,7034,,
0.0001827031810535118,1.0,15,7503,,
0.0001366479991702363,1.0,16,7972,,
0.00010278607078362256,1.0,17,8441,,
7.761942833894864e-05,1.0,18,8910,,
5.878383672097698e-05,1.0,19,9379,,
4.461894423002377e-05,1.0,20,9848,,
3.393013321328908e-05,1.0,21,10317,,
2.58418785961112e-05,1.0,22,10786,,
1.9708657418959774e-05,1.0,23,11255,,
1.5049254216137342e-05,1.0,24,11724,,
1.1504659596539568e-05,1.0,25,12193,,
8.80513198353583e-06,1.0,26,12662,,
6.748372470610775e-06,1.0,27,13131,,
5.178595984034473e-06,1.0,28,13600,,
3.979573648393853e-06,1.0,29,14069,,
3.06267429550644e-06,1.0,30,14538,,
2.3607033199368743e-06,1.0,31,15007,,
1.822754484237521e-06,1.0,32,15476,,
1.4100746739131864e-06,1.0,33,15945,,
1.0929570635198615e-06,1.0,34,16414,,
8.492820029459835e-07,1.0,35,16883,,
6.615881602556328e-07,1.0,36,17352,,
5.165132961337804e-07,1.0,37,17821,,
4.047171557886031e-07,1.0,38,18290,,
3.1824887969378324e-07,1.0,39,18759,,
2.509970613573387e-07,1.0,40,19228,,
1.9849534282911918e-07,1.0,41,19697,,
1.5772776862377214e-07,1.0,42,20166,,
1.2596049714375113e-07,1.0,43,20635,,
1.0065435418482593e-07,1.0,44,21104,,
8.103846482754307e-08,1.0,45,21573,,
6.513396044738329e-08,1.0,46,22042,,
5.276003989251876e-08,1.0,47,22511,,
4.297494626825937e-08,1.0,48,22980,,
3.5007790444296916e-08,1.0,49,23449,,
2.8743343705173174e-08,1.0,50,23918,,
2.356767403455251e-08,1.0,51,24387,,
1.943707239604464e-08,1.0,52,24856,,
1.6162791993679093e-08,1.0,53,25325,,
1.3413030686137972e-08,1.0,54,25794,,
1.1136133792888359e-08,1.0,55,26263,,
9.328125827323674e-09,1.0,56,26732,,
7.859865647219522e-09,1.0,57,27201,,
6.679693242972462e-09,1.0,58,27670,,
5.811452208348555e-09,1.0,59,28139,,
5.177656525745533e-09,1.0,60,28608,,
4.680950738134015e-09,1.0,61,29077,,
4.297494360372411e-09,1.0,62,29546,,
4.069010017815344e-09,1.0,63,30015,,
3.872314913166974e-09,1.0,64,30484,,
3.830591399633931e-09,1.0,65,30953,,
3.751118526906794e-09,1.0,66,31422,,
3.731250419747312e-09,1.0,67,31891,,
3.747145260746265e-09,1.0,68,32360,,
3.806749582224711e-09,1.0,69,32829,,
3.7809209096906216e-09,1.0,70,33298,,
3.88224874470211e-09,1.0,71,33767,,
3.8941698754513254e-09,1.0,72,34236,,
3.9577483512687195e-09,1.0,73,34705,,
3.989537145088207e-09,1.0,74,35174,,
4.037221223995857e-09,1.0,75,35643,,
4.084904414725088e-09,1.0,76,36112,,
4.192192815111184e-09,1.0,77,36581,,
4.146496035417613e-09,1.0,78,37050,,
4.249810725553971e-09,1.0,79,37519,,
4.261731412213976e-09,1.0,80,37988,,
4.32530988803137e-09,1.0,81,38457,,
4.343191140065983e-09,1.0,82,38926,,
4.428624578167728e-09,1.0,83,39395,,
4.446505830202341e-09,1.0,84,39864,,
4.49816317527052e-09,1.0,85,40333,,
4.52200543676895e-09,1.0,86,40802,,
4.581609758247396e-09,1.0,87,41271,,
4.607438430781485e-09,1.0,88,41740,,
4.684924448383754e-09,1.0,89,42209,,
4.674990616848618e-09,1.0,90,42678,,
4.7246611067919275e-09,1.0,91,43147,,
4.740555503701671e-09,1.0,92,43616,,
4.814067811054201e-09,1.0,93,44085,,
4.825988941803416e-09,1.0,94,44554,,
4.871685721496988e-09,1.0,95,45023,,
4.913409235030031e-09,1.0,96,45492,,
4.9630797249733405e-09,1.0,97,45961,,
4.967053435223079e-09,1.0,98,46430,,
5.0465263079502165e-09,1.0,99,46899,,
5.0465263079502165e-09,1.0,100,47368,,
5.090236232518919e-09,1.0,101,47837,,
5.137919867337359e-09,1.0,102,48306,,
5.1597748296217105e-09,1.0,103,48775,,
5.1856035021558e-09,1.0,104,49244,,
5.2014983431547535e-09,1.0,105,49713,,
5.2630895197580685e-09,1.0,106,50182,,
5.292891902541896e-09,1.0,107,50651,,
5.340575537360337e-09,1.0,108,51120,,
5.342562392485206e-09,1.0,109,51589,,
5.414088288802077e-09,1.0,110,52058,,
5.4399169613361664e-09,1.0,111,52527,,
5.487600596154607e-09,1.0,112,52996,,
5.509455558438958e-09,1.0,113,53465,,
5.517402978938435e-09,1.0,114,53934,,
5.573033590167142e-09,1.0,115,54403,,
5.610783393450447e-09,1.0,116,54872,,
5.646546341608882e-09,1.0,117,55341,,
5.6882694110527154e-09,1.0,118,55810,,
5.7200586489614125e-09,1.0,119,56279,,
5.779663414529068e-09,1.0,120,56748,,
5.801518376813419e-09,1.0,121,57217,,
5.847215156506991e-09,1.0,122,57686,,
5.8650964085416035e-09,1.0,123,58155,,
5.910793632324385e-09,1.0,124,58624,,
5.966424243553092e-09,1.0,125,59093,,
5.992252916087182e-09,1.0,126,59562,,
6.0200684437461405e-09,1.0,127,60031,,
6.0836469195635345e-09,1.0,128,60500,,
6.091594340063011e-09,1.0,129,60969,,
6.1452385402560594e-09,1.0,130,61438,,
6.177027334075547e-09,1.0,131,61907,,
6.254513351677815e-09,1.0,132,62376,,
6.26643448242703e-09,1.0,133,62845,,
6.308157551870863e-09,1.0,134,63314,,
6.379683448187734e-09,1.0,135,63783,,
6.407498975846693e-09,1.0,136,64252,,
6.4154459522569596e-09,1.0,137,64721,,
6.443261479915918e-09,1.0,138,65190,,
6.4770375729494845e-09,1.0,139,65659,,
6.544589314927407e-09,1.0,140,66128,,
6.5604841559263605e-09,1.0,141,66597,,
6.574391697711235e-09,1.0,142,67066,,
6.639957028653498e-09,1.0,143,67535,,
6.630022753029152e-09,1.0,144,68004,,
6.673733121687064e-09,1.0,145,68473,,
6.697574939096285e-09,1.0,146,68942,,
6.755192405449861e-09,1.0,147,69411,,
6.78300793310882e-09,1.0,148,69880,,
6.866454516085696e-09,1.0,149,70349,,
6.868441371210565e-09,1.0,150,70818,,
6.854533829425691e-09,1.0,151,71287,,
6.902217464244131e-09,1.0,152,71756,,
6.9121512957792675e-09,1.0,153,72225,,
6.914138150904137e-09,1.0,154,72694,,
