train_loss,train_acc,epoch,step,test_loss,test_acc
0.8476465344429016,0.7928666472434998,0,468,,
0.2908379137516022,0.9166499972343445,1,937,,
0.2223808616399765,0.9354666471481323,2,1406,,
0.1810738891363144,0.9470666646957397,3,1875,,
0.1515721082687378,0.9558666944503784,4,2344,,
0.12904050946235657,0.9624500274658203,5,2813,,
0.11100345104932785,0.9682999849319458,6,3282,,
0.09602787345647812,0.9727166891098022,7,3751,,
0.08330341428518295,0.975933313369751,8,4220,,
0.07232769578695297,0.9796666502952576,9,4689,,
0.06275948137044907,0.9829333424568176,10,5158,,
0.05435426905751228,0.9857833385467529,11,5627,,
0.04694870859384537,0.9882833361625671,12,6096,,
0.040435921400785446,0.9903166890144348,13,6565,,
0.03469015657901764,0.9924166798591614,14,7034,,
0.029588183388113976,0.9940166473388672,15,7503,,
0.025032781064510345,0.9952999949455261,16,7972,,
0.020956190302968025,0.9963666796684265,17,8441,,
0.017319735139608383,0.9973333477973938,18,8910,,
0.014148475602269173,0.9981333613395691,19,9379,,
0.011447976343333721,0.9986333250999451,20,9848,,
0.009215745143592358,0.9991000294685364,21,10317,,
0.007382460869848728,0.9994333386421204,22,10786,,
0.005846119020134211,0.9995999932289124,23,11255,,
0.004575700033456087,0.9997833371162415,24,11724,,
0.0035605602897703648,0.9998499751091003,25,12193,,
0.00276349694468081,0.999916672706604,26,12662,,
0.0021332111209630966,0.9999499917030334,27,13131,,
0.0016377983847633004,0.9999833106994629,28,13600,,
0.0012676205951720476,1.0,29,14069,,
0.0009875578107312322,1.0,30,14538,,
0.0007705815369263291,1.0,31,15007,,
0.0006046139169484377,1.0,32,15476,,
0.00047326626372523606,1.0,33,15945,,
0.000371616828488186,1.0,34,16414,,
0.00029193307273089886,1.0,35,16883,,
0.00022893304412718862,1.0,36,17352,,
0.00017908489098772407,1.0,37,17821,,
0.00013962668890599161,1.0,38,18290,,
0.00010940575157292187,1.0,39,18759,,
8.529116166755557e-05,1.0,40,19228,,
6.651862349826843e-05,1.0,41,19697,,
5.200691521167755e-05,1.0,42,20166,,
4.055664976476692e-05,1.0,43,20635,,
3.1649047741666436e-05,1.0,44,21104,,
2.4745635528233834e-05,1.0,45,21573,,
1.936503394972533e-05,1.0,46,22042,,
1.5163270290941e-05,1.0,47,22511,,
1.1883034858328756e-05,1.0,48,22980,,
9.31583417695947e-06,1.0,49,23449,,
7.301611731236335e-06,1.0,50,23918,,
5.7213428590330295e-06,1.0,51,24387,,
4.484343207877828e-06,1.0,52,24856,,
3.5169971397408517e-06,1.0,53,25325,,
2.7597045573202195e-06,1.0,54,25794,,
2.166367039535544e-06,1.0,55,26263,,
1.7015520370478043e-06,1.0,56,26732,,
1.3376400147535605e-06,1.0,57,27201,,
1.0526828191359527e-06,1.0,58,27670,,
8.292207667182083e-07,1.0,59,28139,,
6.54275595479703e-07,1.0,60,28608,,
5.166774030840315e-07,1.0,61,29077,,
4.0852950178305036e-07,1.0,62,29546,,
3.236746408674662e-07,1.0,63,30015,,
2.569454977674468e-07,1.0,64,30484,,
2.0434247005596262e-07,1.0,65,30953,,
1.6301464711432345e-07,1.0,66,31422,,
1.3054803105205792e-07,1.0,67,31891,,
1.0496972180362718e-07,1.0,68,32360,,
8.463659639801335e-08,1.0,69,32829,,
6.88513068780594e-08,1.0,70,33298,,
5.623300580737123e-08,1.0,71,33767,,
4.61459137568454e-08,1.0,72,34236,,
3.823438987637928e-08,1.0,73,34705,,
3.196795717030909e-08,1.0,74,35174,,
2.703467849585195e-08,1.0,75,35643,,
2.2963680734733316e-08,1.0,76,36112,,
1.9768872761005696e-08,1.0,77,36581,,
1.703103258421379e-08,1.0,78,37050,,
1.4871357478796199e-08,1.0,79,37519,,
1.3188520497919853e-08,1.0,80,37988,,
1.1781850162151386e-08,1.0,81,38457,,
1.0639428005276841e-08,1.0,82,38926,,
9.578465132165093e-09,1.0,83,39395,,
8.755921321323967e-09,1.0,84,39864,,
8.151928021504773e-09,1.0,85,40333,,
7.579723515505066e-09,1.0,86,40802,,
6.9797034818464e-09,1.0,87,41271,,
6.606180935619932e-09,1.0,88,41740,,
6.234645244518333e-09,1.0,89,42209,,
5.9584772671428254e-09,1.0,90,42678,,
5.666414448768364e-09,1.0,91,43147,,
5.441903372371826e-09,1.0,92,43616,,
5.143880432711967e-09,1.0,93,44085,,
5.022684046451786e-09,1.0,94,44554,,
4.804133979519065e-09,1.0,95,45023,,
4.6928718688832305e-09,1.0,96,45492,,
4.59551774412148e-09,1.0,97,45961,,
4.440545708916943e-09,1.0,98,46430,,
4.3193493226567625e-09,1.0,99,46899,,
4.237889594804756e-09,1.0,100,47368,,
4.176298418201441e-09,1.0,101,47837,,
4.110733087259177e-09,1.0,102,48306,,
4.023313238121773e-09,1.0,103,48775,,
3.9875502899633375e-09,1.0,104,49244,,
3.929932823609761e-09,1.0,105,49713,,
3.900130440825933e-09,1.0,106,50182,,
3.8743017682918435e-09,1.0,107,50651,,
3.810723292474449e-09,1.0,108,51120,,
3.812710147599319e-09,1.0,109,51589,,
3.7709870781554855e-09,1.0,110,52058,,
3.824631278348534e-09,1.0,111,52527,,
3.8027763160641825e-09,1.0,112,52996,,
3.755092237156532e-09,1.0,113,53465,,
3.763039657656009e-09,1.0,114,53934,,
3.741184695371658e-09,1.0,115,54403,,
3.786881475065229e-09,1.0,116,54872,,
3.806749582224711e-09,1.0,117,55341,,
3.765026512780878e-09,1.0,118,55810,,
3.7590659474062704e-09,1.0,119,56279,,
3.792842040439837e-09,1.0,120,56748,,
3.7908551853149675e-09,1.0,121,57217,,
3.824631278348534e-09,1.0,122,57686,,
3.798802605814444e-09,1.0,123,58155,,
3.862380637542628e-09,1.0,124,58624,,
3.8425125303831464e-09,1.0,125,59093,,
3.870328058042105e-09,1.0,126,59562,,
3.878275478541582e-09,1.0,127,60031,,
3.876288623416713e-09,1.0,128,60500,,
3.927945968484892e-09,1.0,129,60969,,
3.923972258235153e-09,1.0,130,61438,,
3.945827220519504e-09,1.0,131,61907,,
3.947814075644374e-09,1.0,132,62376,,
3.961721617429248e-09,1.0,133,62845,,
3.9676821828038555e-09,1.0,134,63314,,
4.023313238121773e-09,1.0,135,63783,,
4.0094056963368985e-09,1.0,136,64252,,
4.033247513746119e-09,1.0,137,64721,,
4.027286948371511e-09,1.0,138,65190,,
4.0809307044753496e-09,1.0,139,65659,,
4.0392076350315165e-09,1.0,140,66128,,
4.088878124974826e-09,1.0,141,66597,,
4.0908649800996955e-09,1.0,142,67066,,
4.1226542180083925e-09,1.0,143,67535,,
4.1325880495435285e-09,1.0,144,68004,,
4.138548614918136e-09,1.0,145,68473,,
4.1941796702360534e-09,1.0,146,68942,,
4.15245660079222e-09,1.0,147,69411,,
4.2061008009852685e-09,1.0,148,69880,,
4.210074067145797e-09,1.0,149,70349,,
4.180272128451179e-09,1.0,150,70818,,
4.249810725553971e-09,1.0,151,71287,,
4.243850160179363e-09,1.0,152,71756,,
4.283586818587537e-09,1.0,153,72225,,
4.307428635996757e-09,1.0,154,72694,,
4.291533794997804e-09,1.0,155,73163,,
4.353125415690329e-09,1.0,156,73632,,
4.335244163655716e-09,1.0,157,74101,,
4.327296743156239e-09,1.0,158,74570,,
4.382927798474157e-09,1.0,159,75039,,
4.404782760758508e-09,1.0,160,75508,,
4.369019812600072e-09,1.0,161,75977,,
4.408756471008246e-09,1.0,162,76446,,
4.4226640127931205e-09,1.0,163,76915,,
4.47233450273643e-09,1.0,164,77384,,
