train_loss,train_acc,epoch,step,test_loss,test_acc
0.6091676950454712,0.857200026512146,0,468,,
0.21967865526676178,0.9387999773025513,1,937,,
0.15759369730949402,0.9557833075523376,2,1406,,
0.12278659641742706,0.9655500054359436,3,1875,,
0.09874484688043594,0.9731500148773193,4,2344,,
0.08055934309959412,0.9788166880607605,5,2813,,
0.06614244729280472,0.9830166697502136,6,3282,,
0.054388150572776794,0.9866833090782166,7,3751,,
0.04466286674141884,0.9896666407585144,8,4220,,
0.03646049275994301,0.9920166730880737,9,4689,,
0.029544847086071968,0.9940833449363708,10,5158,,
0.023733099922537804,0.9959499835968018,11,5627,,
0.018899522721767426,0.9970666766166687,12,6096,,
0.014879303984344006,0.9977999925613403,13,6565,,
0.011554408818483353,0.9985499978065491,14,7034,,
0.00887646060436964,0.9991333484649658,15,7503,,
0.0067563788034021854,0.9994666576385498,16,7972,,
0.005108767654746771,0.9996833205223083,17,8441,,
0.003837522119283676,0.9998166561126709,18,8910,,
0.00286179524846375,0.9998999834060669,19,9379,,
0.002140376716852188,0.9999833106994629,20,9848,,
0.0016175300115719438,1.0,21,10317,,
0.001235811971127987,1.0,22,10786,,
0.0009495310951024294,1.0,23,11255,,
0.0007320073200389743,1.0,24,11724,,
0.0005656082066707313,1.0,25,12193,,
0.0004377314180601388,1.0,26,12662,,
0.000339157588314265,1.0,27,13131,,
0.0002630111703183502,1.0,28,13600,,
0.00020410382421687245,1.0,29,14069,,
0.00015848787734284997,1.0,30,14538,,
0.00012313124898355454,1.0,31,15007,,
9.570238762535155e-05,1.0,32,15476,,
7.440753688570112e-05,1.0,33,15945,,
5.7865028793457896e-05,1.0,34,16414,,
4.501001603784971e-05,1.0,35,16883,,
3.5017812479054555e-05,1.0,36,17352,,
2.7250300263403915e-05,1.0,37,17821,,
2.121172656188719e-05,1.0,38,18290,,
1.6516925825271755e-05,1.0,39,18759,,
1.2866236829722766e-05,1.0,40,19228,,
1.002732551569352e-05,1.0,41,19697,,
7.819405254849698e-06,1.0,42,20166,,
6.101358394516865e-06,1.0,43,20635,,
4.764354343933519e-06,1.0,44,21104,,
3.723351710505085e-06,1.0,45,21573,,
2.9124546472303336e-06,1.0,46,22042,,
2.280909029650502e-06,1.0,47,22511,,
1.7879729057312943e-06,1.0,48,22980,,
1.4035737194717512e-06,1.0,49,23449,,
1.1034150020350353e-06,1.0,50,23918,,
8.688480193086434e-07,1.0,51,24387,,
6.856393497400859e-07,1.0,52,24856,,
5.420927777777251e-07,1.0,53,25325,,
4.296711040296941e-07,1.0,54,25794,,
3.415182732169342e-07,1.0,55,26263,,
2.721148177897703e-07,1.0,56,26732,,
2.1772173397494043e-07,1.0,57,27201,,
1.7481438874256128e-07,1.0,58,27670,,
1.4074639409500378e-07,1.0,59,28139,,
1.1385874643110583e-07,1.0,60,28608,,
9.253420785171329e-08,1.0,61,29077,,
7.567602722247102e-08,1.0,62,29546,,
6.216764347755088e-08,1.0,63,30015,,
5.1448740379100855e-08,1.0,64,30484,,
4.2796131083377986e-08,1.0,65,30953,,
3.587404506788516e-08,1.0,66,31422,,
3.0187763400135736e-08,1.0,67,31891,,
2.5741258014022605e-08,1.0,68,32360,,
2.2029874813256356e-08,1.0,69,32829,,
1.8908577814613636e-08,1.0,70,33298,,
1.6532339941477403e-08,1.0,71,33767,,
1.4460085573375636e-08,1.0,72,34236,,
1.2765327461750076e-08,1.0,73,34705,,
1.1382499387480038e-08,1.0,74,35174,,
1.0206300693482717e-08,1.0,75,35643,,
9.228784847437055e-09,1.0,76,36112,,
8.402267326346191e-09,1.0,77,36581,,
7.671117074892209e-09,1.0,78,37050,,
7.092952447607104e-09,1.0,79,37519,,
6.58631282846045e-09,1.0,80,37988,,
6.188948464824762e-09,1.0,81,38457,,
5.894898791325431e-09,1.0,82,38926,,
5.608796538325578e-09,1.0,83,39395,,
5.368391065019296e-09,1.0,84,39864,,
5.177656525745533e-09,1.0,85,40333,,
4.980960977007953e-09,1.0,86,40802,,
4.824002086678547e-09,1.0,87,41271,,
4.708766265792974e-09,1.0,88,41740,,
4.573662781837129e-09,1.0,89,42209,,
4.462400671201294e-09,1.0,90,42678,,
4.369019812600072e-09,1.0,91,43147,,
4.273652542963191e-09,1.0,92,43616,,
4.2359027396798865e-09,1.0,93,44085,,
4.1941796702360534e-09,1.0,94,44554,,
4.106759377009439e-09,1.0,95,45023,,
4.0809307044753496e-09,1.0,96,45492,,
4.0511287657807316e-09,1.0,97,45961,,
3.997484565587683e-09,1.0,98,46430,,
4.00543198608716e-09,1.0,99,46899,,
3.959735206393589e-09,1.0,100,47368,,
3.95576149614385e-09,1.0,101,47837,,
3.927945968484892e-09,1.0,102,48306,,
3.937879800020028e-09,1.0,103,48775,,
3.886222454951849e-09,1.0,104,49244,,
3.937879800020028e-09,1.0,105,49713,,
3.862380637542628e-09,1.0,106,50182,,
3.9060910062005405e-09,1.0,107,50651,,
3.890196165201587e-09,1.0,108,51120,,
3.8743017682918435e-09,1.0,109,51589,,
3.8544336611323615e-09,1.0,110,52058,,
3.872314913166974e-09,1.0,111,52527,,
3.88224874470211e-09,1.0,112,52996,,
3.876288623416713e-09,1.0,113,53465,,
3.844499385508016e-09,1.0,114,53934,,
3.8743017682918435e-09,1.0,115,54403,,
3.898143585701064e-09,1.0,116,54872,,
3.878275478541582e-09,1.0,117,55341,,
3.914037982610807e-09,1.0,118,55810,,
